tournament_id,tournament_name,category_name,url,is_important
28432,Canadian Premier League,Canadá,https://betnacional.bet.br/events/1/388/28432,Não
331,Challenge Cup,Escócia,https://betnacional.bet.br/events/1/22/331,Não
9,Challenger Pro League,Bélgica,https://betnacional.bet.br/events/1/33/9,Não
206,Championship,Escócia,https://betnacional.bet.br/events/1/22/206,Não
1024,Copa Argentina,Argentina,https://betnacional.bet.br/events/1/48/1024,Não
217,Copa da Alemanha,Alemanha,https://betnacional.bet.br/events/1/30/217,Não
365,Copa da Bulgária,Bulgária,https://betnacional.bet.br/events/1/78/365,Não
326,Copa da Bélgica,Bélgica,https://betnacional.bet.br/events/1/33/326,Não
291,Copa da Eslovênia,Eslovénia,https://betnacional.bet.br/events/1/24/291,Não
335,Copa da França,França,https://betnacional.bet.br/events/1/7/335,Não
375,Copa da Grécia ,Grécia,https://betnacional.bet.br/events/1/67/375,Não
328,Copa da Itália,Itália,https://betnacional.bet.br/events/1/31/328,Não
